date,store_id,city,sku_id,product_name,actual_demand,predicted_demand,opening_inventory,received_qty,units_sold,lost_sales,ending_inventory,safety_stock,reorder_point,inventory_position,order_qty,revenue,stockout_flag
2026-05-02,ST001,Chennai,SKU001,Shampoo 340ml,23,28.42,53,0,23,0,30,16.62,101.89,30,129,7567.0,False
2026-05-02,ST001,Chennai,SKU002,Bath Soap 100g,47,49.1,74,0,47,0,27,23.91,171.21,27,243,2585.0,False
2026-05-02,ST001,Chennai,SKU003,Laundry Detergent 1kg,34,38.02,89,0,34,0,55,20.67,134.72,55,156,7480.0,False
2026-05-02,ST001,Chennai,SKU004,Dishwash Liquid 500ml,34,36.07,49,0,34,0,15,18.38,126.58,15,184,4250.0,False
2026-05-02,ST001,Chennai,SKU005,Instant Coffee 100g,32,23.84,42,0,32,0,10,15.03,86.54,10,125,5920.0,False
2026-05-02,ST002,Bengaluru,SKU001,Shampoo 340ml,28,30.0,37,0,28,0,9,16.1,106.09,9,158,9212.0,False
2026-05-02,ST002,Bengaluru,SKU002,Bath Soap 100g,47,49.53,81,0,47,0,34,17.99,166.57,34,232,2585.0,False
2026-05-02,ST002,Bengaluru,SKU003,Laundry Detergent 1kg,43,34.85,69,0,43,0,26,15.44,120.0,26,164,9460.0,False
2026-05-02,ST002,Bengaluru,SKU004,Dishwash Liquid 500ml,33,35.97,76,0,33,0,43,19.69,127.61,43,157,4125.0,False
2026-05-02,ST002,Bengaluru,SKU005,Instant Coffee 100g,28,24.46,33,0,28,0,5,16.96,90.34,5,135,5180.0,False
2026-05-02,ST003,Mumbai,SKU001,Shampoo 340ml,38,29.35,63,0,38,0,25,18.74,106.79,25,141,12502.0,False
2026-05-02,ST003,Mumbai,SKU002,Bath Soap 100g,37,49.87,79,0,37,0,42,17.84,167.44,42,226,2035.0,False
2026-05-02,ST003,Mumbai,SKU003,Laundry Detergent 1kg,52,50.79,80,0,52,0,28,21.53,173.9,28,248,9152.0,False
2026-05-02,ST003,Mumbai,SKU004,Dishwash Liquid 500ml,35,36.05,64,0,35,0,29,13.4,121.54,29,165,4375.0,False
2026-05-02,ST003,Mumbai,SKU005,Instant Coffee 100g,33,29.25,43,0,33,0,10,20.29,108.04,10,157,6105.0,False
2026-05-02,ST004,Delhi,SKU001,Shampoo 340ml,21,23.77,51,0,21,0,30,15.8,87.1,30,105,6909.0,False
2026-05-02,ST004,Delhi,SKU002,Bath Soap 100g,46,42.56,59,0,46,0,13,19.19,146.88,13,220,2530.0,False
2026-05-02,ST004,Delhi,SKU003,Laundry Detergent 1kg,35,36.3,46,0,35,0,11,15.5,124.42,11,187,7700.0,False
2026-05-02,ST004,Delhi,SKU004,Dishwash Liquid 500ml,26,30.09,53,0,26,0,27,13.23,103.51,27,137,3250.0,False
2026-05-02,ST004,Delhi,SKU005,Instant Coffee 100g,21,21.98,17,0,17,4,0,12.36,78.31,0,123,3145.0,True
2026-05-02,ST005,Hyderabad,SKU001,Shampoo 340ml,21,23.39,44,0,21,0,23,13.25,83.42,23,108,6909.0,False
2026-05-02,ST005,Hyderabad,SKU002,Bath Soap 100g,40,40.3,61,0,40,0,21,16.45,137.35,21,197,2200.0,False
2026-05-02,ST005,Hyderabad,SKU003,Laundry Detergent 1kg,38,33.47,60,0,38,0,22,23.12,123.52,22,169,8360.0,False
2026-05-02,ST005,Hyderabad,SKU004,Dishwash Liquid 500ml,38,28.45,52,0,38,0,14,16.15,101.49,14,145,4750.0,False
2026-05-02,ST005,Hyderabad,SKU005,Instant Coffee 100g,25,21.52,43,0,25,0,18,14.83,79.39,18,105,4625.0,False
2026-05-03,ST001,Chennai,SKU001,Shampoo 340ml,37,34.0,30,0,30,7,0,16.17,118.16,129,0,8389.5,True
2026-05-03,ST001,Chennai,SKU002,Bath Soap 100g,44,45.09,27,0,27,17,0,23.95,159.23,243,0,1485.0,True
2026-05-03,ST001,Chennai,SKU003,Laundry Detergent 1kg,27,38.55,55,0,27,0,28,19.96,135.6,184,0,5940.0,False
2026-05-03,ST001,Chennai,SKU004,Dishwash Liquid 500ml,39,33.1,15,0,15,24,0,16.85,116.14,184,0,1875.0,True
2026-05-03,ST001,Chennai,SKU005,Instant Coffee 100g,21,23.17,10,0,10,11,0,15.74,85.26,125,0,1850.0,True
2026-05-03,ST002,Bengaluru,SKU001,Shampoo 340ml,28,30.1,9,0,9,19,0,16.08,106.37,158,0,2961.0,True
2026-05-03,ST002,Bengaluru,SKU002,Bath Soap 100g,58,48.39,34,0,34,24,0,17.98,163.14,232,0,1870.0,True
2026-05-03,ST002,Bengaluru,SKU003,Laundry Detergent 1kg,29,37.28,26,0,26,3,0,16.06,127.9,164,0,5720.0,True
2026-05-03,ST002,Bengaluru,SKU004,Dishwash Liquid 500ml,38,35.42,43,0,38,0,5,19.36,125.62,162,0,4750.0,False
2026-05-03,ST002,Bengaluru,SKU005,Instant Coffee 100g,25,25.64,5,0,5,20,0,16.58,93.5,135,0,925.0,True
2026-05-03,ST003,Mumbai,SKU001,Shampoo 340ml,41,30.52,25,0,25,16,0,18.35,109.92,141,0,8225.0,True
2026-05-03,ST003,Mumbai,SKU002,Bath Soap 100g,46,50.95,42,0,42,4,0,18.51,171.36,226,0,2310.0,True
2026-05-03,ST003,Mumbai,SKU003,Laundry Detergent 1kg,44,41.9,28,0,28,16,0,22.73,148.42,248,0,6160.0,True
2026-05-03,ST003,Mumbai,SKU004,Dishwash Liquid 500ml,35,34.91,29,0,29,6,0,13.45,118.18,165,0,3625.0,True
2026-05-03,ST003,Mumbai,SKU005,Instant Coffee 100g,27,28.4,10,0,10,17,0,20.62,105.83,157,0,1850.0,True
2026-05-03,ST004,Delhi,SKU001,Shampoo 340ml,25,24.84,30,0,25,0,5,15.7,90.22,110,0,8225.0,False
2026-05-03,ST004,Delhi,SKU002,Bath Soap 100g,40,46.08,13,0,13,27,0,19.51,157.75,220,0,715.0,True
2026-05-03,ST004,Delhi,SKU003,Laundry Detergent 1kg,29,35.45,11,0,11,18,0,15.29,121.65,187,0,2420.0,True
2026-05-03,ST004,Delhi,SKU004,Dishwash Liquid 500ml,26,29.83,27,0,26,0,1,13.18,102.67,138,0,3250.0,False
2026-05-03,ST004,Delhi,SKU005,Instant Coffee 100g,23,21.87,0,0,0,23,0,12.25,77.86,123,0,0.0,True
2026-05-03,ST005,Hyderabad,SKU001,Shampoo 340ml,26,23.3,23,0,23,3,0,13.15,83.05,108,0,7567.0,True
2026-05-03,ST005,Hyderabad,SKU002,Bath Soap 100g,42,41.72,21,0,21,21,0,15.73,140.9,197,0,1155.0,True
2026-05-03,ST005,Hyderabad,SKU003,Laundry Detergent 1kg,23,36.31,22,0,22,1,0,23.2,132.12,169,0,4840.0,True
2026-05-03,ST005,Hyderabad,SKU004,Dishwash Liquid 500ml,23,29.44,14,0,14,9,0,17.12,105.45,145,0,1750.0,True
2026-05-03,ST005,Hyderabad,SKU005,Instant Coffee 100g,19,20.41,18,0,18,1,0,14.83,76.06,105,0,3330.0,True
2026-05-04,ST001,Chennai,SKU001,Shampoo 340ml,28,23.59,0,0,0,28,0,16.92,87.7,129,0,0.0,True
2026-05-04,ST001,Chennai,SKU002,Bath Soap 100g,32,42.92,0,0,0,32,0,23.37,152.13,243,0,0.0,True
2026-05-04,ST001,Chennai,SKU003,Laundry Detergent 1kg,40,30.87,28,0,28,12,0,20.41,113.02,156,0,6160.0,True
2026-05-04,ST001,Chennai,SKU004,Dishwash Liquid 500ml,27,29.9,0,0,0,27,0,16.13,105.84,184,0,0.0,True
2026-05-04,ST001,Chennai,SKU005,Instant Coffee 100g,19,21.39,0,0,0,19,0,15.77,79.93,125,0,0.0,True
2026-05-04,ST002,Bengaluru,SKU001,Shampoo 340ml,34,28.66,0,0,0,34,0,15.89,101.87,158,0,0.0,True
2026-05-04,ST002,Bengaluru,SKU002,Bath Soap 100g,47,46.26,0,0,0,47,0,18.59,157.37,232,0,0.0,True
2026-05-04,ST002,Bengaluru,SKU003,Laundry Detergent 1kg,28,33.37,0,0,0,28,0,16.29,116.39,164,0,0.0,True
2026-05-04,ST002,Bengaluru,SKU004,Dishwash Liquid 500ml,29,30.49,5,0,5,24,0,19.69,111.18,157,0,625.0,True
2026-05-04,ST002,Bengaluru,SKU005,Instant Coffee 100g,34,26.51,0,0,0,34,0,16.47,96.0,135,0,0.0,True
2026-05-04,ST003,Mumbai,SKU001,Shampoo 340ml,26,26.0,0,0,0,26,0,19.61,97.61,141,0,0.0,True
2026-05-04,ST003,Mumbai,SKU002,Bath Soap 100g,45,44.5,0,0,0,45,0,17.69,151.19,226,0,0.0,True
2026-05-04,ST003,Mumbai,SKU003,Laundry Detergent 1kg,29,37.79,0,0,0,29,0,22.93,136.3,248,0,0.0,True
2026-05-04,ST003,Mumbai,SKU004,Dishwash Liquid 500ml,33,32.54,0,0,0,33,0,13.53,111.14,165,0,0.0,True
2026-05-04,ST003,Mumbai,SKU005,Instant Coffee 100g,27,23.62,0,0,0,27,0,20.44,91.3,157,0,0.0,True
2026-05-04,ST004,Delhi,SKU001,Shampoo 340ml,40,30.33,5,0,5,35,0,15.74,106.73,105,63,1316.0,True
2026-05-04,ST004,Delhi,SKU002,Bath Soap 100g,44,39.1,0,0,0,44,0,19.49,136.8,220,0,0.0,True
2026-05-04,ST004,Delhi,SKU003,Laundry Detergent 1kg,34,30.29,0,0,0,34,0,13.77,104.64,187,0,0.0,True
2026-05-04,ST004,Delhi,SKU004,Dishwash Liquid 500ml,30,25.96,1,0,1,29,0,13.16,91.04,137,0,125.0,True
2026-05-04,ST004,Delhi,SKU005,Instant Coffee 100g,19,19.72,0,0,0,19,0,12.18,71.35,123,0,0.0,True
2026-05-04,ST005,Hyderabad,SKU001,Shampoo 340ml,15,22.35,0,0,0,15,0,13.23,80.27,108,0,0.0,True
2026-05-04,ST005,Hyderabad,SKU002,Bath Soap 100g,33,36.67,0,0,0,33,0,15.58,125.6,197,0,0.0,True
2026-05-04,ST005,Hyderabad,SKU003,Laundry Detergent 1kg,45,32.85,0,0,0,45,0,22.99,121.54,169,0,0.0,True
2026-05-04,ST005,Hyderabad,SKU004,Dishwash Liquid 500ml,21,25.98,0,0,0,21,0,15.56,93.5,145,0,0.0,True
2026-05-04,ST005,Hyderabad,SKU005,Instant Coffee 100g,17,19.0,0,0,0,17,0,14.81,71.82,105,0,0.0,True
2026-05-05,ST001,Chennai,SKU001,Shampoo 340ml,28,23.7,129,129,28,0,101,16.57,87.67,101,0,9212.0,False
2026-05-05,ST001,Chennai,SKU002,Bath Soap 100g,50,40.94,243,243,50,0,193,23.01,145.84,193,0,2750.0,False
2026-05-05,ST001,Chennai,SKU003,Laundry Detergent 1kg,33,33.63,156,156,33,0,123,20.6,121.49,123,0,7260.0,False
2026-05-05,ST001,Chennai,SKU004,Dishwash Liquid 500ml,20,35.95,184,184,20,0,164,15.94,123.79,164,0,2250.0,False
2026-05-05,ST001,Chennai,SKU005,Instant Coffee 100g,22,21.17,125,125,22,0,103,15.84,79.34,103,0,4070.0,False
2026-05-05,ST002,Bengaluru,SKU001,Shampoo 340ml,24,25.41,158,158,24,0,134,16.01,92.24,134,0,7896.0,False
2026-05-05,ST002,Bengaluru,SKU002,Bath Soap 100g,48,42.84,232,232,48,0,184,18.28,146.81,184,0,2640.0,False
2026-05-05,ST002,Bengaluru,SKU003,Laundry Detergent 1kg,57,37.15,164,164,57,0,107,16.43,127.88,107,96,10032.0,False
2026-05-05,ST002,Bengaluru,SKU004,Dishwash Liquid 500ml,30,31.23,157,157,30,0,127,19.61,113.31,127,0,3750.0,False
2026-05-05,ST002,Bengaluru,SKU005,Instant Coffee 100g,19,22.43,135,135,19,0,116,17.17,84.46,116,0,3515.0,False
2026-05-05,ST003,Mumbai,SKU001,Shampoo 340ml,30,27.01,141,141,30,0,111,19.61,100.63,111,0,9870.0,False
2026-05-05,ST003,Mumbai,SKU002,Bath Soap 100g,47,45.62,226,226,47,0,179,17.73,154.6,179,0,2585.0,False
2026-05-05,ST003,Mumbai,SKU003,Laundry Detergent 1kg,36,37.99,248,248,36,0,212,23.49,137.45,212,0,7920.0,False
2026-05-05,ST003,Mumbai,SKU004,Dishwash Liquid 500ml,28,31.31,165,165,28,0,137,13.38,107.29,137,0,3500.0,False
2026-05-05,ST003,Mumbai,SKU005,Instant Coffee 100g,23,23.23,157,157,23,0,134,19.07,88.77,134,0,4042.25,False
2026-05-05,ST004,Delhi,SKU001,Shampoo 340ml,17,22.97,105,105,17,0,88,18.15,87.06,151,0,5593.0,False
2026-05-05,ST004,Delhi,SKU002,Bath Soap 100g,42,40.83,220,220,42,0,178,19.35,141.84,178,0,2310.0,False
2026-05-05,ST004,Delhi,SKU003,Laundry Detergent 1kg,29,31.52,187,187,29,0,158,12.9,107.46,158,0,6380.0,False
2026-05-05,ST004,Delhi,SKU004,Dishwash Liquid 500ml,37,26.38,137,137,37,0,100,12.91,92.04,100,0,4625.0,False
2026-05-05,ST004,Delhi,SKU005,Instant Coffee 100g,15,19.87,123,123,15,0,108,12.0,71.61,108,0,2775.0,False
2026-05-05,ST005,Hyderabad,SKU001,Shampoo 340ml,19,22.28,108,108,19,0,89,12.67,79.51,89,0,6251.0,False
2026-05-05,ST005,Hyderabad,SKU002,Bath Soap 100g,16,36.98,197,197,16,0,181,14.94,125.87,181,0,880.0,False
2026-05-05,ST005,Hyderabad,SKU003,Laundry Detergent 1kg,29,28.63,169,169,29,0,140,23.65,109.55,140,0,6380.0,False
2026-05-05,ST005,Hyderabad,SKU004,Dishwash Liquid 500ml,32,26.49,145,145,32,0,113,15.56,95.03,113,0,4000.0,False
2026-05-05,ST005,Hyderabad,SKU005,Instant Coffee 100g,17,18.21,105,105,17,0,88,14.83,69.46,88,0,3145.0,False
2026-05-06,ST001,Chennai,SKU001,Shampoo 340ml,27,24.66,101,0,27,0,74,16.47,90.46,74,66,8883.0,False
2026-05-06,ST001,Chennai,SKU002,Bath Soap 100g,34,43.78,193,0,34,0,159,23.12,154.44,159,0,1870.0,False
2026-05-06,ST001,Chennai,SKU003,Laundry Detergent 1kg,21,34.52,123,0,21,0,102,20.63,124.2,102,92,4620.0,False
2026-05-06,ST001,Chennai,SKU004,Dishwash Liquid 500ml,38,28.4,164,0,38,0,126,17.01,102.21,126,0,4750.0,False
2026-05-06,ST001,Chennai,SKU005,Instant Coffee 100g,23,21.07,103,0,23,0,80,15.81,79.0,80,0,4255.0,False
2026-05-06,ST002,Bengaluru,SKU001,Shampoo 340ml,27,25.83,134,0,27,0,107,15.72,93.21,107,0,8883.0,False
2026-05-06,ST002,Bengaluru,SKU002,Bath Soap 100g,42,43.94,184,0,42,0,142,18.26,150.08,142,96,2310.0,False
2026-05-06,ST002,Bengaluru,SKU003,Laundry Detergent 1kg,46,34.46,107,0,46,0,61,20.19,123.57,157,0,10120.0,False
2026-05-06,ST002,Bengaluru,SKU004,Dishwash Liquid 500ml,25,30.86,127,0,25,0,102,19.22,111.8,102,72,3125.0,False
2026-05-06,ST002,Bengaluru,SKU005,Instant Coffee 100g,31,22.81,116,0,31,0,85,17.06,85.49,85,47,5735.0,False
2026-05-06,ST003,Mumbai,SKU001,Shampoo 340ml,25,26.71,111,0,25,0,86,19.52,99.65,86,68,8225.0,False
2026-05-06,ST003,Mumbai,SKU002,Bath Soap 100g,45,45.64,179,0,45,0,134,17.4,154.32,134,112,2475.0,False
2026-05-06,ST003,Mumbai,SKU003,Laundry Detergent 1kg,34,36.8,212,0,34,0,178,23.35,133.74,178,0,7480.0,False
2026-05-06,ST003,Mumbai,SKU004,Dishwash Liquid 500ml,28,32.05,137,0,28,0,109,13.55,109.7,109,65,3500.0,False
2026-05-06,ST003,Mumbai,SKU005,Instant Coffee 100g,37,29.1,134,0,37,0,97,19.15,106.44,97,68,5476.0,False
2026-05-06,ST004,Delhi,SKU001,Shampoo 340ml,16,23.48,88,0,16,0,72,18.25,88.68,135,0,5264.0,False
2026-05-06,ST004,Delhi,SKU002,Bath Soap 100g,42,38.69,178,0,42,0,136,17.69,133.77,136,0,2310.0,False
2026-05-06,ST004,Delhi,SKU003,Laundry Detergent 1kg,21,31.6,158,0,21,0,137,13.15,107.96,137,0,4620.0,False
2026-05-06,ST004,Delhi,SKU004,Dishwash Liquid 500ml,21,25.16,100,0,21,0,79,13.36,88.85,79,61,2625.0,False
2026-05-06,ST004,Delhi,SKU005,Instant Coffee 100g,19,20.91,108,0,19,0,89,12.23,74.96,89,0,3515.0,False
2026-05-06,ST005,Hyderabad,SKU001,Shampoo 340ml,21,20.16,89,0,21,0,68,12.43,72.92,68,46,6909.0,False
2026-05-06,ST005,Hyderabad,SKU002,Bath Soap 100g,35,38.42,181,0,35,0,146,19.44,134.69,146,0,1732.5,False
2026-05-06,ST005,Hyderabad,SKU003,Laundry Detergent 1kg,27,29.08,140,0,27,0,113,23.64,110.89,113,0,5940.0,False
2026-05-06,ST005,Hyderabad,SKU004,Dishwash Liquid 500ml,24,25.27,113,0,24,0,89,15.11,90.92,89,53,3000.0,False
2026-05-06,ST005,Hyderabad,SKU005,Instant Coffee 100g,15,19.88,88,0,15,0,73,14.54,74.18,73,41,2775.0,False
2026-05-07,ST001,Chennai,SKU001,Shampoo 340ml,22,24.56,74,0,22,0,52,16.08,89.76,118,0,7238.0,False
2026-05-07,ST001,Chennai,SKU002,Bath Soap 100g,47,41.51,159,0,47,0,112,23.87,148.41,112,120,2585.0,False
2026-05-07,ST001,Chennai,SKU003,Laundry Detergent 1kg,36,35.61,102,0,36,0,66,21.89,128.72,158,0,7920.0,False
2026-05-07,ST001,Chennai,SKU004,Dishwash Liquid 500ml,34,29.75,126,0,34,0,92,17.4,106.65,92,75,4250.0,False
2026-05-07,ST001,Chennai,SKU005,Instant Coffee 100g,22,21.05,80,0,22,0,58,15.76,78.9,58,63,4070.0,False
2026-05-07,ST002,Bengaluru,SKU001,Shampoo 340ml,27,26.08,107,0,27,0,80,15.52,93.76,80,66,8883.0,False
2026-05-07,ST002,Bengaluru,SKU002,Bath Soap 100g,41,43.02,142,0,41,0,101,18.43,147.5,197,0,2255.0,False
2026-05-07,ST002,Bengaluru,SKU003,Laundry Detergent 1kg,39,36.78,61,0,39,0,22,21.02,131.37,118,87,8580.0,False
2026-05-07,ST002,Bengaluru,SKU004,Dishwash Liquid 500ml,30,29.73,102,0,30,0,72,19.33,108.53,144,0,3750.0,False
2026-05-07,ST002,Bengaluru,SKU005,Instant Coffee 100g,28,21.58,85,0,28,0,57,17.12,81.85,104,0,5180.0,False
2026-05-07,ST003,Mumbai,SKU001,Shampoo 340ml,29,27.41,86,0,29,0,57,19.54,101.78,125,0,9541.0,False
2026-05-07,ST003,Mumbai,SKU002,Bath Soap 100g,38,45.43,134,0,38,0,96,17.14,153.44,208,0,2090.0,False
2026-05-07,ST003,Mumbai,SKU003,Laundry Detergent 1kg,28,37.28,178,0,28,0,150,22.66,134.51,150,0,6160.0,False
2026-05-07,ST003,Mumbai,SKU004,Dishwash Liquid 500ml,30,32.5,109,0,30,0,79,13.66,111.18,144,0,3750.0,False
2026-05-07,ST003,Mumbai,SKU005,Instant Coffee 100g,29,24.3,97,0,29,0,68,19.9,92.81,136,0,5365.0,False
2026-05-07,ST004,Delhi,SKU001,Shampoo 340ml,23,24.91,135,63,23,0,112,18.7,93.42,112,0,7188.65,False
2026-05-07,ST004,Delhi,SKU002,Bath Soap 100g,49,37.74,136,0,49,0,87,17.51,130.72,87,120,2695.0,False
2026-05-07,ST004,Delhi,SKU003,Laundry Detergent 1kg,41,30.12,137,0,41,0,96,14.82,105.18,96,70,9020.0,False
2026-05-07,ST004,Delhi,SKU004,Dishwash Liquid 500ml,31,25.29,79,0,31,0,48,13.86,89.72,109,0,3875.0,False
2026-05-07,ST004,Delhi,SKU005,Instant Coffee 100g,23,19.83,89,0,23,0,66,12.1,71.59,66,46,4255.0,False
2026-05-07,ST005,Hyderabad,SKU001,Shampoo 340ml,28,20.97,68,0,28,0,40,12.43,75.34,86,0,9212.0,False
2026-05-07,ST005,Hyderabad,SKU002,Bath Soap 100g,47,35.09,146,0,47,0,99,19.48,124.76,99,96,2585.0,False
2026-05-07,ST005,Hyderabad,SKU003,Laundry Detergent 1kg,31,30.21,113,0,31,0,82,23.72,114.37,82,93,6820.0,False
2026-05-07,ST005,Hyderabad,SKU004,Dishwash Liquid 500ml,27,26.38,89,0,27,0,62,15.17,94.3,115,0,3375.0,False
2026-05-07,ST005,Hyderabad,SKU005,Instant Coffee 100g,11,19.72,73,0,11,0,62,14.66,73.84,103,0,2035.0,False
2026-05-08,ST001,Chennai,SKU001,Shampoo 340ml,28,24.29,52,0,28,0,24,16.14,89.0,90,0,9212.0,False
2026-05-08,ST001,Chennai,SKU002,Bath Soap 100g,39,42.14,112,0,39,0,73,22.81,149.23,193,0,2145.0,False
2026-05-08,ST001,Chennai,SKU003,Laundry Detergent 1kg,32,34.3,66,0,32,0,34,21.82,124.72,126,0,7040.0,False
2026-05-08,ST001,Chennai,SKU004,Dishwash Liquid 500ml,42,29.75,92,0,42,0,50,17.38,106.63,125,0,5250.0,False
2026-05-08,ST001,Chennai,SKU005,Instant Coffee 100g,27,29.05,58,0,27,0,31,15.76,102.93,94,68,3996.0,False
2026-05-08,ST002,Bengaluru,SKU001,Shampoo 340ml,18,25.32,80,0,18,0,62,14.09,90.05,128,0,5922.0,False
