service_z,order_up_to_days,service_level,lost_sales,stockout_rows,average_inventory,revenue,total_ordered
0.84,5,97.10383551812214,1372,81,50.838,7630201.45,48062
0.84,7,97.3465898296498,1257,73,83.61733333333333,7638591.5,49009
0.84,10,97.66533679522091,1106,58,130.98,7662292.05,49604
0.84,14,97.78565849745637,1049,52,207.31066666666666,7675613.05,51051
1.04,5,97.19882633567643,1327,82,52.586,7636276.55,48126
1.04,7,97.48379878833934,1192,67,85.364,7650929.45,49122
1.04,10,97.69488949401558,1092,55,132.87,7664922.05,49413
1.04,14,97.79199121862663,1046,50,208.22866666666667,7676438.05,51359
1.28,5,97.32336985202541,1268,73,55.066,7642193.050000001,48247
1.28,7,97.56612416355308,1153,62,87.81866666666667,7658541.75,49307
1.28,10,97.77088214805903,1056,52,134.74066666666667,7672566.05,49196
1.28,14,97.80676756802397,1039,49,210.57533333333333,7677223.05,51433
1.44,5,97.45002427543116,1208,69,56.53066666666667,7652968.45,48349
1.44,7,97.62522956114242,1125,59,89.25266666666667,7664032.05,49324
1.44,10,97.78988031156987,1047,50,137.43133333333333,7674348.05,49458
1.44,14,97.81521119625103,1035,48,212.78333333333333,7677843.05,51239
1.65,5,97.51757330124755,1176,66,58.564,7657156.05,48435
1.65,7,97.67589133050471,1101,56,91.20666666666666,7668158.05,49418
1.65,10,97.80465666096721,1040,50,138.574,7676073.05,49539
1.65,14,97.81943301036455,1033,48,214.56466666666665,7678213.05,51308
1.96,5,97.62945137525595,1123,59,61.65,7665960.85,48539
1.96,7,97.726553099867,1077,54,94.372,7672294.05,49426
1.96,10,97.81732210330779,1034,49,144.00666666666666,7677709.05,49777
1.96,14,97.82576573153484,1030,48,217.69866666666667,7678768.05,51398
