date,store_id,city,sku_id,product_name,actual_demand,predicted_demand,received_qty,opening_inventory,units_sold,lost_sales,ending_inventory,safety_stock,reorder_point,inventory_position,order_qty,optimized_revenue,stockout_flag
2026-05-02,ST001,Chennai,SKU001,Shampoo 340ml,23,28.42,0,53,23,0,30,16.62,101.89,30,271,7567.0,False
2026-05-02,ST001,Chennai,SKU002,Bath Soap 100g,47,49.1,0,74,47,0,27,23.91,171.21,27,488,2585.0,False
2026-05-02,ST001,Chennai,SKU003,Laundry Detergent 1kg,34,38.02,0,89,34,0,55,20.67,134.72,55,346,7480.0,False
2026-05-02,ST001,Chennai,SKU004,Dishwash Liquid 500ml,34,36.07,0,49,34,0,15,18.38,126.58,15,365,4250.0,False
2026-05-02,ST001,Chennai,SKU005,Instant Coffee 100g,32,23.84,0,42,32,0,10,15.03,86.54,10,244,5920.0,False
2026-05-02,ST002,Bengaluru,SKU001,Shampoo 340ml,28,30.0,0,37,28,0,9,16.1,106.09,9,308,9212.0,False
2026-05-02,ST002,Bengaluru,SKU002,Bath Soap 100g,47,49.53,0,81,47,0,34,17.99,166.57,34,480,2585.0,False
2026-05-02,ST002,Bengaluru,SKU003,Laundry Detergent 1kg,43,34.85,0,69,43,0,26,15.44,120.0,26,338,9460.0,False
2026-05-02,ST002,Bengaluru,SKU004,Dishwash Liquid 500ml,33,35.97,0,76,33,0,43,19.69,127.61,43,337,4125.0,False
2026-05-02,ST002,Bengaluru,SKU005,Instant Coffee 100g,28,24.46,0,33,28,0,5,16.96,90.34,5,257,5180.0,False
2026-05-02,ST003,Mumbai,SKU001,Shampoo 340ml,38,29.35,0,63,38,0,25,18.74,106.79,25,288,12502.0,False
2026-05-02,ST003,Mumbai,SKU002,Bath Soap 100g,37,49.87,0,79,37,0,42,17.84,167.44,42,475,2035.0,False
2026-05-02,ST003,Mumbai,SKU003,Laundry Detergent 1kg,52,50.79,0,80,52,0,28,21.53,173.9,28,502,9152.0,False
2026-05-02,ST003,Mumbai,SKU004,Dishwash Liquid 500ml,35,36.05,0,64,35,0,29,13.4,121.54,29,345,4375.0,False
